COD_TIPO_VIP_ADE|NOM_COMP_CLI_ADE|COD_TIPO_LOGR_UN_CONS_ADE|COD_LOGR_UN_CONS_ADE|NOM_LOGR_UN_CONS_ADE|NUM_IMVL_UN_CONS_ADE|DES_CPTO_ENDE_UN_CONS_ADE|NOM_BAIR_UN_CONS_ADE|COD_CEP_UN_CONS_ADE|NUM_FONE_PRIN_CLI_ADE|COD_EMAIL_CLI_ADE|NUM_FAX_PRIN_CLI_ADE|COD_LOC_ADE|COD_UN_CONS_ADE|NOVAUC|NUM_EQIP_ADE|COD_CLAS_PRIN_ADE|COD_CLAS_CONS_ADE|QTD_TENS_LIG_ADE|COD_SITU_UN_CONS_ADE|COD_TIPO_PROG_ESPC_ADE|COD_GRU_TENS_FAT_ADE|COD_SUB_GRU_FAT_ADE|COD_TIPO_TAR_FAT_ADE|STA_GER_CARGA_ADE|COD_TIPO_LOGR_CLI_ADE|NOM_LOGR_CLI_ADE|NUM_IMVL_CLI_ADE|DES_CPTO_ENDE_CLI_ADE|NOM_BAIR_CLI_ADE|COD_CEP_CLI_ADE|NOM_MUN_CLI_ADE|COD_UF_CLI_ADE|NOM_PAI_CLI_ADE|COD_CXPT_CLI_ADE|DTA_INC_ADE|NOM_USU_INC_ADE|STA_LEIT_REG_ADE|DTA_LIG_ADE|NUM_FONE_CEL_CLI_ADE|COD_ETAP_ADE|COD_LIVR_ADE|NUM_SEQ_LIVR_ADE|COD_AUX_ADE|DTA_PROGM_ADE|NUM_PSTE_ADE|COD_TIPO_FASE_ADE|COD_FASE_LIG_ADE|NUM_DISJ_ADE|COD_TIPO_RAMAL_LIG_ADE|NUM_CPMT_RAMAL_LIG_ADE|QTD_TENS_CONR_ADE|NUM_CLI_ADE|COD_TIPO_LOC_COM_ADE|COD_TIPO_LOC_TEC_ADE|COD_SUB_GRU_ORIG_ADE|NUM_EQIP_REAT_ADE|NUM_EQIP_DEM_ADE|COD_TIPO_CORT_TEC_ADE|COD_MOTI_DESL_ADE|DTA_DESL_UN_CONS_ADE|DTA_RLIG_UN_CONS_ADE|COD_AREA_DDD_ADE|NUM_RAMAL_FONE_ADE|COD_TIPO_TRIB_ADE|COD_TIPO_GER_ADE|NUM_COORX_PSTE_ADE|NUM_COORY_PSTE_ADE|COD_POST_TRA_ADE|COD_FORM_DESL_ADE|DES_PTO_REF_UN_CONS_ADE|COD_CLAS_ATIV_ECON_TRAT_ADE|DES_CPTO_ENDE_TRAT_ADE|DES_PTO_REF_TRAT_ADE|COD_CLAS_PRIN_TRAT_ADE|COD_TIPO_FASE_TRAT_ADE|COD_CONJ_UN_CONS_ADE|NUM_SEQ_OPER_MAT_ADE|STA_RAMAL_SERV_ADE|STA_SITU_RAMAL_SERV_ADE|COD_EMAIL_CONT_ADE|COD_TIPO_VIP_UC_ADE|COD_TIPO_VIP_CLI_ADE|VAL_ENC_USO_SIS_DISTR_UC|DATA_REF_ENC_USO_UC|COD_TIPO_IMOV_UC|EMAIL_UC|IDENT_CELU_UC|COORD_X_UC|COORD_Y_UC|VAL_BASE_CALC_COMPEN_UC|VAL_PTO_CLI_UC|NUM_TRECHO_LOG_SEGM_UC|DATA_ULT_FISCAL_UC|DATA_INIC_CONS_UC
|||R HOMOLOG -> SILVIO CORAZZA||NA|SE SRC 69 SITIO CERCADO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|19-09-2023 01:42:00||CYCLE018|705211|456||||TR              |ABCN            |||||2867655000|UB|UB|B3              |||||26-10-2023 12:00:00|26-10-2023 12:00:00|||||||||||SE SRC 69 SITIO CERCADO||8|TR              |||||testesappcopel@gmail.com|||5497.8||NA|testesappcopel@gmail.com|41988474924|-49.254532|-25.557823|5497.8|B |||19-09-2023 12:00:00
|||R HOMOLOG -> MACHADO DE ASSIS||NA|SE PAN 34 5 PARAISO DO NORTE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|26-04-1999 12:00:00||CYCLE015|037845|36||||MO              |AN              |||||4363655000|UB|UB|B3              |||||25-02-2010 12:00:00|25-02-2010 12:00:00|||||||||||SE PAN 34 5 PARAISO DO NORTE||8|MO              |||||cadastro.digital@copel.com|||20.51||NA|cadastro.digital@copel.com|41988474924|-52.612189|-23.279995|20.51|B |||21-09-2013 12:00:00
|||R HOMOLOG -> JOSE JOAQUIM BAHLS||NA|REP PAS  PALMAS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|01-02-2000 12:00:00||CYCLE05|007731|211||||TR              |ABCN            |||||6265555000|UB|UB|B3              |||||20-09-2022 04:19:00|20-09-2022 04:19:01|||||||||||REP PAS  PALMAS||8|TR              |||||testesappcopel@gmail.com|||204.67||NA|testesappcopel@gmail.com|41988474924|-52.014234|-26.481003|204.67|B |||07-08-2021 12:00:00
|||AV HOMOLOG -> QUINZE DE NOVEMBRO||31|SE PIN 34 5 PINHAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|03-03-1975 12:00:00||CYCLE016|022867|215||||TR              |ABCN            |||||7163655000|UB|UB|B3              ||||||16-09-2024 02:22:01|||||||||||SE PIN 34 5 PINHAO||8|TR              |||||cadastro.digital@copel.com|||68.53||31|cadastro.digital@copel.com|41988474924|0|0|68.53|B |||21-09-2013 12:00:00
|||R HOMOLOG -> DAS MARITACAS||120|ALMOX LNA  OFICINA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|02-02-2001 12:00:00||CYCLE04|004008|77||||TR              |ABCN            |||||8457655000|UB|UB|B3              |||||24-01-2013 05:27:00|03-03-2020 12:00:00|||||||||||ALMOX LNA  OFICINA||8|TR              |||||cadastro.digital@copel.com|||877.21||120|cadastro.digital@copel.com|41988474924|-51.137641|-23.290143|877.21|B |||05-10-2013 12:00:00
|||COL HOMOLOG -> STA MARIA||NA|NA||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|24-06-2012 11:30:00||CYCLE036|020488|43||||BI              |ACN             |||||8515555000|RR|RR|B3              |||||20-06-2024 12:08:00|12-08-2024 01:24:01|||||||||||NA||8|BI              |||||testesappcopel@gmail.com|||0||NA|testesappcopel@gmail.com|41988474924|0|0|0|B |||12-08-2024 12:00:00
|||R HOMOLOG -> JOAQUIM NABUCO||184|POLO PGO  PONTA GROSSA||||||U               |                ||||        ||LG||A               |A4              |WHITE           ||||||||||||||N|29-09-2007 12:00:00||CYCLE056|039851|2||||TR              |ABCN            |||||8705555000|UB|UB|A4              |||||26-01-2010 12:00:00|11-03-2024 03:45:00|||||||||||POLO PGO  PONTA GROSSA||8|TR              |||||COMPRAS.DISPGO@COPEL.COM|||15139.5||184|COMPRAS.DISPGO@COPEL.COM|41988474924|0|0|15139.5|B |||23-09-2013 12:00:00
|||R HOMOLOG -> DR OSVALDO CRUZ||135|SE MER 34 5 MERCEDES||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|25-07-2000 12:00:00||CYCLE018|036858|13||||TR              |ABCN            |||||9305555000|UB|UB|B3              |||||30-04-2011 12:00:00|30-04-2011 12:00:00|||||||||||SE MER 34 5 MERCEDES||8|TR              |||||cadastro.digital@copel.com|||403.72||135|cadastro.digital@copel.com|41988474924|-54.162047|-24.453582|403.72|B |||27-09-2013 12:00:00
|||R HOMOLOG -> ANITA GARIBALDI||0|SE SJO 34 5 SAO JOAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|22-10-1974 12:00:00||CYCLE090|032064|1||||TR              |ABCN            |||||9745555000|UB|UB|B3              |||||||||||||||||SE SJO 34 5 SAO JOAO||8|TR              |||||cadastro.digital@copel.com|||69.4||0|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||COL HOMOLOG -> BOQUEIRAO||NA|SE LAP 138 LAPA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|27-10-2022 03:29:00||CYCLE030|004376|10||||TR              |ABCN            |||||9767655000|UB|UB|B3              |||||16-11-2022 12:00:00|16-11-2022 12:00:00|||||||||||SE LAP 138 LAPA||8|TR              |||||testesappcopel@gmail.com|||242.69||NA|testesappcopel@gmail.com|41988474924|-49.72068|-25.749274|242.69|B |||27-10-2022 12:00:00
|||R HOMOLOG -> D PEDRO II||36|UAP ANT  ANTONINA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|10-09-1974 12:00:00||CYCLE01|001602|17||||TR              |ABCN            |||||9843555000|UB|UB|B3              ||||||27-10-2011 08:33:01|||||||||||UAP ANT  ANTONINA||8|TR              |||||cadastro.digital@copel.com|||196.98||36|cadastro.digital@copel.com|41988474924|-48.713068|-25.427044|196.98|B |||02-10-2013 12:00:00
|||R HOMOLOG -> PROF BRAZILIO OVIDIO DA COSTA||1703|COPEL SANTA QUITERIA||||||U               |                ||||        ||LG||A               |A4              |WHITE           ||||||||||||||N|08-11-2001 12:00:00||CYCLE071|035498|24||||TR              |ABCN            |||||0557655000|UB|UB|A4              |||||20-08-2011 10:00:00|13-01-2012 10:30:00|||||||||||COPEL SANTA QUITERIA||8|TR              |||||CADASTRO.DIGITAL@COPEL.COM|||33457.14||1703|CADASTRO.DIGITAL@COPEL.COM|41988474924|0|0|33457.14|B |||11-09-2013 12:00:00
|||AV HOMOLOG -> ANDRADINA||NA|SE UST 138 UNIOESTE||||||U               |                ||||        ||LG||B               |A4              |CONVENTIONAL    ||||||||||||||N|20-05-2014 02:59:00||CYCLE09|036452|18||||TR              |ABCN            |||||1373655000|UB|UB|A4              ||||||20-05-2014 02:59:01|||||||||||SE UST 138 UNIOESTE||8|TR              |||||cadastro.digital@copel.com|25||1882.36||NA|cadastro.digital@copel.com|41988474924|-54.559894|-25.470024|1882.36|B |||20-05-2014 12:00:00
|||R HOMOLOG -> CHILE||NA|SE APR 138 ALTO PARANA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|26-11-1970 12:00:00||CYCLE019|024925|175||||TR              |ABCN            |||||3553555000|UB|UB|B3              |||||||||||||||||SE APR 138 ALTO PARANA||8|TR              |||||testesappcopel@gmail.com|||434.11||NA|testesappcopel@gmail.com|41988474924|0|0|434.11|B |||27-09-2013 12:00:00
|||AV HOMOLOG -> GUARAPUAVA BAL CAIOBA||NA|SE MAS 138 MATINHOS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|26-09-1974 12:00:00||CYCLE013|016074|32||||TR              |ABCN            |||||3943555000|UB|UB|B3              |||||19-11-2022 12:00:00|19-11-2022 12:00:00|||||||||||SE MAS 138 MATINHOS||8|TR              |||||cadastro.digital@copel.com|||956.5||NA|cadastro.digital@copel.com|41988474924|-48.542177|-25.829958|956.5|B |||19-09-2013 12:00:00
|||AV HOMOLOG -> DO OURO||500|UAP CRB  CARAMBEI||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|27-10-1994 12:00:00||CYCLE02|002726|145||||TR              |ABCN            |||||3955555000|UB|UB|B3              ||||||27-10-1994 12:00:00|||||||||||UAP CRB  CARAMBEI||8|TR              |||||testesappcopel@gmail.com|||66.63||500|testesappcopel@gmail.com|41988474924|-50.115363|-24.949977|66.63|B |||04-10-2013 12:00:00
|||R HOMOLOG -> PNO PASCHOAL LOURENCETI||NA|ALMOX MGA  MARINGA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|28-01-1993 12:00:00||CYCLE02|002052|3||||TR              |ABCN            |||||5263555000|UB|UB|B3              |||||06-09-2021 09:01:00|06-09-2021 09:57:01|||||||||||ALMOX MGA  MARINGA||8|TR              |||||cadastro.digital@copel.com|||965.89||NA|cadastro.digital@copel.com|41988474924|-51.989871|-23.446706|965.89|B |||04-10-2013 12:00:00
|||R HOMOLOG -> VISC DE NACAR||NA|COPEL DIS SECEN VISCONDE DE NACAR||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|06-03-1992 12:00:00||CYCLE010|515912|138||||TR              |ABCN            |||||5743655000|UB|UB|B3              |||||||||||||||||COPEL DIS SECEN VISCONDE DE NACAR||8|TR              |||||cadastro.digital@copel.com|||0||NA|cadastro.digital@copel.com|41988474924|0|0|0||||08-10-2013 12:00:00
|||R HOMOLOG -> BAHIA||63|SE SAT 34 5 SANTA TEREZINHA DE ITAIPU||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|25-08-1991 12:00:00||CYCLE090|032062|1||||BI              |BCN             |||||5853655000|UB|UB|B3              |||||||||||||||||SE SAT 34 5 SANTA TEREZINHA DE ITAIPU||8|BI              |||||cadastro.digital@copel.com|||34.69||63|cadastro.digital@copel.com|41988474924|0|0|34.69|B |||01-10-2013 12:00:00
|||R HOMOLOG -> CAIGANGUES||NA|SE PAS 138 PALMAS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|20-09-1974 12:00:00||CYCLE090|032052|1||||TR              |ABCN            |||||7206655000|UB|UB|B3              |||||||||||||||||SE PAS 138 PALMAS||8|TR              |||||testesappcopel@gmail.com|||69.4||NA|testesappcopel@gmail.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||R HOMOLOG -> SATURNINO PIRES DE GODOI||425|POLO CPO  CORNELIO PROCOPIO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|22-08-1990 12:00:00||CYCLE016|015849|94||||TR              |ABCN            |||||9063555000|UB|UB|B3              |||||28-06-2012 12:00:00|21-01-2022 12:00:00|||||||||||POLO CPO  CORNELIO PROCOPIO||8|TR              |||||testesappcopel@gmail.com|||1103.5||425|testesappcopel@gmail.com|41988474924|-50.65355|-23.190305|1103.5|B |||18-09-2013 12:00:00
|||AV HOMOLOG -> EUZEBIO BARBOSA DE MENEZES||527|UAP TAR  TAMARANA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|29-09-1995 12:00:00||CYCLE05|008964|23||||TR              |ABCN            |||||9063655000|UB|UB|B3              ||||||29-09-1995 12:00:00|||||||||||UAP TAR  TAMARANA||8|TR              |||||cadastro.digital@copel.com|||67.1||527|cadastro.digital@copel.com|41988474924|-51.095051|-23.7235|67.1|B |||10-09-2013 12:00:00
|||R HOMOLOG -> SEN SOUZA NAVES||1202|SE SIS 34 5 SERTANOPOLIS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|20-09-1974 12:00:00||CYCLE013|017278|77||||TR              |ABCN            |||||9453555000|UB|UB|B3              ||||||27-10-2022 10:40:00|||||||||||SE SIS 34 5 SERTANOPOLIS||8|TR              |||||testesappcopel@gmail.com|||354.53||1202|testesappcopel@gmail.com|41988474924|-51.038961|-23.053377|354.53|B |||19-09-2013 12:00:00
|||POV HOMOLOG -> CERRO LINDO||NA|NA||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-04-2024 03:20:00||CYCLE036|036005|17||||BI              |ABN             |||||0815555000|RR|RR|B3              ||||||04-04-2024 03:20:01|||||||||||NA||8|BI              |||||testesappcopel@gmail.com|||142.54||NA|testesappcopel@gmail.com|41988474924|0|0|142.54|B |||04-04-2024 12:00:00
|||R HOMOLOG -> NS APARECIDA||311|AG FRG  FAZ RIO GRANDE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|05-06-2020 12:29:00||CYCLE05|009474|11||||BI              |ACN             |||||1675555000|UB|UB|B3              |||||17-11-2023 12:42:23|17-11-2023 12:42:24|||||||||||AG FRG  FAZ RIO GRANDE||8|BI              |||||cadastro.digital@copel.com|||221.51||311|cadastro.digital@copel.com|41988474924|-49.315159|-25.653121|221.51|B |||05-06-2020 12:00:00
|||ROD HOMOLOG -> PR 574||NA|REP CAF  CAFELANDIA||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|11-10-1979 12:00:00||CYCLE024|002453|25||||TR              |ABCN            |||||2943655000|RR|RR|B3              ||||||11-10-1979 12:00:00|||||||||||REP CAF  CAFELANDIA||8|TR              |||||testesappcopel@gmail.com|||66.84||NA|testesappcopel@gmail.com|41988474924|-53.300993|-24.643298|66.84|B |||06-10-2021 12:00:00
|||AV HOMOLOG -> TUPY||3636|POLO PTO  PATO BRANCO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|30-04-1991 12:00:00||CYCLE019|024536|7||||TR              |ABCN            |||||3505555000|UB|UB|B3              |||||26-06-2023 10:16:00|26-06-2023 10:16:01|||||||||||POLO PTO  PATO BRANCO||8|TR              |||||rivelino@copel.com|||488.73||3636|rivelino@copel.com|41988474924|-52.672411|-26.238943|488.73|B |||27-09-2013 12:00:00
|||POV HOMOLOG -> BARRO PRETO||NA|SE BPE 34 5 BARRO PRETO||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|11-10-1990 12:00:00||CYCLE028|010001|204||||TR              |ABCN            |||||4163555000|RR|RR|B3              |||||||||||||||||SE BPE 34 5 BARRO PRETO||8|TR              |||||cadastro.digital@copel.com|||67.45||NA|cadastro.digital@copel.com|41988474924|0|0|67.45|B |||12-09-2013 12:00:00
|||ROD HOMOLOG -> PR 090||NA|SUBESTACAO SOCAVAO||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|16-10-2024 03:41:00||CYCLE023|022204|164||||TR              |ABCN            |||||5815555000|RR|RR|B3              ||||||16-10-2024 03:41:01|||||||||||SUBESTACAO SOCAVAO||8|TR              |||||testesappcopel@gmail.com|||0||NA|testesappcopel@gmail.com|41988474924|0|0|0|B |||16-10-2024 12:00:00
|||AV HOMOLOG -> JAMES PATRICK CLARK||950|SE TRC 34 5 TERRA RICA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|18-11-1972 12:00:00||CYCLE016|022130|83||||TR              |ABCN            |||||7255555000|UB|UB|B3              |||||30-05-2012 10:16:00|30-05-2012 10:16:01|||||||||||SE TRC 34 5 TERRA RICA||8|TR              |||||cadastro.digital@copel.com|||613.46||950|cadastro.digital@copel.com|41988474924|-52.626908|-22.734232|613.46|B |||24-09-2013 12:00:00
|||R HOMOLOG -> PARANA||1026|1026 1242||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|08-12-2022 09:10:00||CYCLE011|041927|56||||TR              |ABCN            |||||8675555000|UB|UB|B3              |||||16-01-2023 12:00:00|16-01-2023 12:00:00|||||||||||1026 1242||8|TR              |||||testesappcopel@gmail.com|||67.86||1026|testesappcopel@gmail.com|41988474924|-54.053853|-25.386733|67.86|B |||08-12-2022 12:00:00
|||R HOMOLOG -> JOAO DA ROCHA FERREIRA||NA|SE BAN 34 5 BALSA NOVA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|12-06-1975 12:00:00||CYCLE03|004635|285||||TR              |ABCN            |||||8704555000|UB|UB|B3              |||||||||||||||||SE BAN 34 5 BALSA NOVA||8|TR              |||||cadastro.digital@copel.com|||66.73||NA|cadastro.digital@copel.com|41988474924|0|0|66.73|B |||05-10-2013 12:00:00
|||R HOMOLOG -> 19 DE ABRIL||NA|SE IBU 34 5 IMBAU||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|07-09-1994 12:00:00||CYCLE08|008871|65||||TR              |ABCN            |||||9263555000|UB|UB|B3              |||||||||||||||||SE IBU 34 5 IMBAU||8|TR              |||||cadastro.digital@copel.com|||67.45||NA|cadastro.digital@copel.com|41988474924|0|0|67.45|B |||13-09-2013 12:00:00
|||R HOMOLOG -> RIO GRANDE DO NORTE||1249|UAP DIN  DIAMANTE DO NORTE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|16-02-1995 12:00:00||CYCLE05|005752|185||||BI              |ACN             |||||9653655000|UB|UB|B3              ||||||07-04-2009 12:00:00|||||||||||UAP DIN  DIAMANTE DO NORTE||8|BI              |||||testesappcopel@gmail.com|||33.53||1249|testesappcopel@gmail.com|41988474924|-52.865825|-22.662963|33.53|B |||07-09-2013 12:00:00
|||R HOMOLOG -> CURITIBA||680|UAP TRA  TAPEJARA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|17-12-1996 12:00:00||CYCLE010|038450|61||||BI              |BCN             |||||0165555000|UB|UB|B3              ||||||17-12-1996 12:00:00|||||||||||UAP TRA  TAPEJARA||8|BI              |||||cadastro.digital@copel.com|||34.02||680|cadastro.digital@copel.com|41988474924|-52.865756|-23.738106|34.02|B |||14-09-2013 12:00:00
|||R HOMOLOG -> RODOLPHO SENFF||NA|SE JAM 69 JARDIM AMERICAS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-07-2023 12:03:00||CYCLE010|932508|188||||TR              |ABCN            |||||1775555000|UB|UB|B3              |||||15-08-2023 12:00:00|15-08-2023 12:00:00|||||||||||SE JAM 69 JARDIM AMERICAS||8|TR              |||||testesappcopel@gmail.com|||67.77||NA|testesappcopel@gmail.com|41988474924|-49.232122|-25.46017|67.77|B |||04-07-2023 12:00:00
|||ROD HOMOLOG -> BR 476||NA|ALMOX UVI  UNIAO DA VITORIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|14-04-1988 12:00:00||CYCLE017|017322|74||||TR              |ABCN            |||||2753655000|UB|UB|B3              |||||12-04-2023 10:17:00|12-04-2023 10:17:01|||||||||||ALMOX UVI  UNIAO DA VITORIA||8|TR              |||||testesappcopel@gmail.com|||398.29||NA|testesappcopel@gmail.com|41988474924|-51.060029|-26.20191|398.29|B |||08-10-2013 12:00:00
|||R HOMOLOG -> DESEMBARGADOR MOTTA||2347|AG CEN  CENTRO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|25-11-1974 12:00:00||CYCLE013|511221|4||||TR              |ABCN            |||||2995655000|UB|UB|B3              |||||25-08-2022 01:19:00|25-08-2022 01:19:01|||||||||||AG CEN  CENTRO||8|TR              |||||cadastro.digital@copel.com|||1531.89||2347|cadastro.digital@copel.com|41988474924|-49.283285|-25.435032|1531.89|B |||19-09-2013 12:00:00
|||R HOMOLOG -> RIO DA PAZ||1160|ALMOX CEL  SIST INCENDIO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|19-04-1985 12:00:00||CYCLE011|034944|177||||TR              |ABCN            |||||3053555000|UB|UB|B3              ||||||14-02-2000 12:00:00|||||||||||ALMOX CEL  SIST INCENDIO||8|TR              |||||testesappcopel@gmail.com|||8387.35||1160|testesappcopel@gmail.com|41988474924|-53.459978|-24.997001|8387.35|B |||18-09-2013 12:00:00
|||R HOMOLOG -> AMERICA||186|UAP CAL  CALIFORNIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|22-08-1997 12:00:00||CYCLE03|003757|222||||BI              |ABN             |||||3357655000|UB|UB|B3              ||||||24-11-1997 12:00:00|||||||||||UAP CAL  CALIFORNIA||8|BI              |||||cadastro.digital@copel.com|||33.36||186|cadastro.digital@copel.com|41988474924|-51.35803|-23.666861|33.36|B |||06-10-2013 12:00:00
|||R HOMOLOG -> CARLOS CAVALCANTE||NA|POLO UVI  UNIAO DA VITORIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|17-03-1975 12:00:00||CYCLE09|009916|50||||TR              |ABCN            |||||3455555000|UB|UB|B3              |||||21-11-2019 02:58:00|21-06-2024 12:27:01|||||||||||POLO UVI  UNIAO DA VITORIA||8|TR              |||||testesappcopel@gmail.com|||283.76||NA|testesappcopel@gmail.com|41988474924|-51.096109|-26.238207|283.76|B |||14-09-2013 12:00:00
|||R HOMOLOG -> JACAREZINHO||1|SE ADA 138 ANDIRA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|10-10-1981 12:00:00||CYCLE09|011959|41||||TR              |ABCN            |||||3653655000|UB|UB|B3              |||||06-05-2022 12:00:00|06-05-2022 02:36:01|||||||||||SE ADA 138 ANDIRA||8|TR              |||||cadastro.digital@copel.com|||1856.69||1|cadastro.digital@copel.com|41988474924|0|0|1856.69|B |||07-09-2013 12:00:00
|||EST HOMOLOG -> PRINCIPAL||NA|REP QUITANDINHA  QUITANDINHA||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|09-05-1999 12:00:00||CYCLE029|007351|296||||MR              |ABN             |||||4457655000|RR|RR|B3              ||||||30-11-2001 12:00:00|||||||||||REP QUITANDINHA  QUITANDINHA||8|MR              |||||testesappcopel@gmail.com|||20.24||NA|testesappcopel@gmail.com|41988474924|-49.465455|-26.015662|20.24|B |||14-10-2021 12:00:00
|||R HOMOLOG -> DULCIDIO FALAVINHA||69|SE GIA 69 GUARAITUBA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|28-07-2023 02:02:00||CYCLE08|020943|114||||TR              |ABCN            |||||5673655000|UB|UB|B3              |||||31-07-2023 12:00:00|11-08-2023 12:00:00|||||||||||SE GIA 69 GUARAITUBA||8|TR              |||||testesappcopel@gmail.com|||67.55||69|testesappcopel@gmail.com|41988474924|-49.190882|-25.3462|67.55|B |||28-07-2023 12:00:00
|||R HOMOLOG -> AMAZONAS||751|SE AGV 69 AGUA VERDE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|27-10-2022 02:04:00||CYCLE014|806324|79||||TR              |ABCN            |||||6715555000|UB|UB|B3              |||||21-11-2022 12:00:00|21-11-2022 12:00:00|||||||||||SE AGV 69 AGUA VERDE||8|TR              |||||testesappcopel@gmail.com|||943.13||751|testesappcopel@gmail.com|41988474924|-49.283994|-25.466258|943.13|B |||27-10-2022 12:00:00
|||R HOMOLOG -> LUIZ VILWOCK||NA|ALMOX CEL  CASCAVEL||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|20-07-1988 12:00:00||CYCLE011|036635|85||||TR              |ABCN            |||||7804555000|UB|UB|B3              |||||28-11-2018 03:06:00|28-11-2018 04:04:01|||||||||||ALMOX CEL  CASCAVEL||8|TR              |||||testesappcopel@gmail.com|||1091.4||NA|testesappcopel@gmail.com|41988474924|-53.455111|-24.993536|1091.4|B |||17-09-2013 12:00:00
|||AV HOMOLOG -> BRASIL||549|AG CIT  CIANORTE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|16-10-1974 12:00:00||CYCLE06|033052|1||||TR              |ABCN            |||||9506655000|UB|UB|B3              |||||09-09-2013 12:01:00|09-03-2020 12:00:00|||||||||||AG CIT  CIANORTE||8|TR              |||||testesappcopel@gmail.com|||1225.18||549|testesappcopel@gmail.com|41988474924|-52.611676|-23.657939|1225.18|B |||10-09-2013 12:00:00
|||R HOMOLOG -> DQ DE CAXIAS||NA|SE IMS 34 5 INACIO MARTINS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|03-09-1990 12:00:00||CYCLE015|015441|115||||TR              |ABCN            |||||0947655000|UB|UB|B3              |||||||||||||||||SE IMS 34 5 INACIO MARTINS||8|TR              |||||cadastro.digital@copel.com|||68.42||NA|cadastro.digital@copel.com|41988474924|0|0|68.42|B |||18-09-2013 12:00:00
